"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Swagger Petstore","0","Pet","3","0","","0"
"0","TodoMVC demo","0","Todo list","2","0","","0"
